"GGG_Code","GGGS_kurz","GGGS_Name","GGGS_Ort","lfd_Nr"
8,Güs,Mecklenburg-Güstrow,,76
4,Gun,Gundelfingen,,77
4,Gut,"Gutenzell,Abt.",,78
6,Ha,"Haag,Gft.",,79
9,Hal,"Halberstadt,Ftm.",,80
8,Hb,"Hamburg,RSt",,81
4,Heg,Heggbach,,82
4,Hbr,"Heilbronn,RSt",,83
5,HR,Henneberg-Römbild,,84
5,HS,Henneberg-Schleusingen,,85
5,HSm,Henneberg-Smalkalden,,86
2,Her,"Hervorden,Abt.",,87
3,HD,"Hessen-Darmstadt,Gft.",,88
